tag,artemisupdate
                  10,               904
                  25,              2184
                  50,              4257
                 100,              8462
                 200,             17595
                 400,             34895
                 800,             69736
                1600,            137444
                3200,            288541
                5000,            436145
               10000,            886861
               30000,           2784858
              100000,         201294563
              500000,       23137934255
             1000000,       94870948216
