tag,ginsengupdate
                  10,                37
                  25,                82
                  50,               161
                 100,               317
                 200,               610
                 400,              1245
                 800,              2638
                1600,              5240
                3200,             10254
                5000,             15848
               10000,             38016
               30000,             99449
              100000,            381404
              500000,           3074698
             1000000,           6643328
             2000000,          13200483
             5000000,          33259627
            10000000,          70018651
            20000000,         130336023
